timestamp, a_x, a_y, a_z, alpha_x, alpha_y, alpha_z
133180.71938804167, -1.2147979736328125, 0.132598876953125, -0.3069000244140625, -0.2965392470359802, 0.07522817701101303, -0.024520257487893105
133180.72945104167, -1.2140350341796875, 0.12518310546875, -0.2942352294921875, -0.27567657828330994, 0.09072138369083405, -0.03993703052401543
133180.73951404166, -1.20648193359375, 0.1258087158203125, -0.3021697998046875, -0.24814429879188538, 0.13142167031764984, -0.05236413702368736
133180.74957804166, -1.1942596435546875, 0.1310882568359375, -0.302764892578125, -0.23026064038276672, 0.1446985900402069, -0.048588573932647705
133180.7596410417, -1.1810760498046875, 0.133514404296875, -0.2983856201171875, -0.21556957066059113, 0.14643390476703644, -0.05167810618877411
133180.76970404168, -1.16607666015625, 0.131072998046875, -0.2992095947265625, -0.19846941530704498, 0.1449020653963089, -0.05919594690203667
133180.77976766668, -1.145111083984375, 0.13006591796875, -0.2911834716796875, -0.18470406532287598, 0.14005324244499207, -0.07752621918916702
133180.78983066668, -1.135498046875, 0.1286468505859375, -0.2691192626953125, -0.18095088005065918, 0.13215617835521698, -0.1011415347456932
133180.79989366667, -1.1202850341796875, 0.1304168701171875, -0.2457733154296875, -0.19025489687919617, 0.1195913776755333, -0.10975712537765503
133180.80995666666, -1.0948028564453125, 0.133148193359375, -0.2286376953125, -0.19881242513656616, 0.11387383937835693, -0.11003515869379044
133180.8200196667, -1.0865325927734375, 0.136810302734375, -0.2247467041015625, -0.21290694177150726, 0.14449194073677063, -0.1155385822057724
133180.83008266668, -1.073028564453125, 0.1316680908203125, -0.2273712158203125, -0.23073014616966248, 0.16095106303691864, -0.1092441976070404
133180.84014566668, -1.0408172607421875, 0.1205902099609375, -0.2259063720703125, -0.24561215937137604, 0.17266204953193665, -0.10484012961387634
133180.85020966668, -1.001434326171875, 0.0988922119140625, -0.240478515625, -0.2605205476284027, 0.21212583780288696, -0.09548550844192505
133180.86027266667, -0.9587860107421875, 0.077789306640625, -0.25787353515625, -0.27003681659698486, 0.270773708820343, -0.06889597326517105
133180.87033566667, -0.9191131591796875, 0.0597381591796875, -0.25811767578125, -0.27140727639198303, 0.2979762852191925, -0.04839363321661949
133180.88039866666, -0.8942413330078125, 0.0526275634765625, -0.227264404296875, -0.3035401701927185, 0.2819555103778839, -0.03749171644449234
133180.89046166668, -0.9042205810546875, 0.0423126220703125, -0.1624908447265625, -0.3584960997104645, 0.22042158246040344, -0.02991022914648056
133180.90052466668, -0.8973846435546875, 0.0289154052734375, -0.157501220703125, -0.4065065085887909, 0.24251437187194824, -0.043346673250198364
133180.91058766667, -0.87432861328125, 0.02581787109375, -0.2108612060546875, -0.47680169343948364, 0.2954649329185486, -0.06258801370859146
133180.92065066667, -0.851348876953125, 0.02655029296875, -0.22686767578125, -0.5373340249061584, 0.30601346492767334, -0.0896633043885231
133180.93071366666, -0.8573760986328125, 0.0240936279296875, -0.2548370361328125, -0.5303400158882141, 0.3332730233669281, -0.12910765409469604
133180.94077666668, -0.8656005859375, 0.03717041015625, -0.3138275146484375, -0.4494560956954956, 0.40294983983039856, -0.15852093696594238
133180.9508406667, -0.848663330078125, 0.05859375, -0.350341796875, -0.3205236792564392, 0.5185736417770386, -0.17450283467769623
133180.96090366668, -0.81402587890625, 0.084991455078125, -0.358917236328125, -0.15527960658073425, 0.6225104331970215, -0.1647529900074005
133180.97096666667, -0.769866943359375, 0.1100921630859375, -0.327484130859375, 0.004540956113487482, 0.6731416583061218, -0.11726164817810059
133180.98102966667, -0.755859375, 0.1154022216796875, -0.26092529296875, 0.09879662096500397, 0.6266971826553345, -0.07027948647737503
133180.99109266666, -0.763702392578125, 0.1068115234375, -0.166778564453125, 0.08771280944347382, 0.45625701546669006, -0.03051023930311203
133181.0011556667, -0.7899322509765625, 0.075531005859375, -0.109619140625, -0.020248545333743095, 0.31202659010887146, -0.0033273533917963505
133181.01121866668, -0.818023681640625, 0.042694091796875, -0.1256103515625, -0.16846545040607452, 0.2578773498535156, -0.0013233247445896268
133181.02128166668, -0.832672119140625, 0.0194549560546875, -0.1793365478515625, -0.29547932744026184, 0.283852756023407, -0.040756482630968094
133181.03134466667, -0.8514404296875, -0.0007781982421875, -0.2399444580078125, -0.35279080271720886, 0.4017503559589386, -0.10866043716669083
133181.04140866667, -0.8536834716796875, 0.004486083984375, -0.2927703857421875, -0.3432508409023285, 0.5250832438468933, -0.19283922016620636
133181.05147166667, -0.8216705322265625, 0.0496978759765625, -0.269805908203125, -0.31030115485191345, 0.5145661234855652, -0.21743831038475037
133181.0615346667, -0.778350830078125, 0.0855865478515625, -0.185943603515625, -0.28979745507240295, 0.3889072835445404, -0.19316652417182922
