timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
133180.075090125, 000075, 0.30986485, 0.26041955, 0.20979929, 0.5824909, -0.045430265, 0.8101218, 0.04840523, 1437.1294, 1437.1294, 961.4137, 726.3415, , 
133180.091762416, 000076, 0.3187404, 0.2598314, 0.21007198, 0.5825288, -0.04639997, 0.810011, 0.04887993, 1437.1943, 1437.1943, 961.4176, 726.35187, , 
133180.108434416, 000077, 0.32800946, 0.25912285, 0.21048515, 0.582301, -0.047513187, 0.81007767, 0.049417436, 1437.2404, 1437.2404, 961.41626, 726.3126, , 
133180.1251065, 000078, 0.3376219, 0.25831446, 0.21101011, 0.58183354, -0.048611652, 0.8103176, 0.049919184, 1437.3207, 1437.3207, 961.3643, 726.29364, , 
133180.141778708, 000079, 0.34747157, 0.25730303, 0.21094082, 0.58136606, -0.049013928, 0.8106293, 0.049911134, 1437.1562, 1437.1562, 961.34973, 726.27515, , 
133180.158450791, 000080, 0.35768422, 0.25626382, 0.21107565, 0.5808718, -0.049283374, 0.8109783, 0.049729854, 1437.2059, 1437.2059, 961.35864, 726.2942, , 
133180.175122958, 000081, 0.36827224, 0.25522253, 0.21157673, 0.58038217, -0.049763475, 0.81130207, 0.049688008, 1437.2365, 1437.2365, 961.3608, 726.2722, , 
133180.191795083, 000082, 0.3792131, 0.2541246, 0.21221521, 0.58002126, -0.050624676, 0.8114837, 0.050063796, 1437.202, 1437.202, 961.33453, 726.28436, , 
133180.208467208, 000083, 0.39049277, 0.25291595, 0.21291669, 0.57985526, -0.051999923, 0.81146353, 0.050898273, 1437.2441, 1437.2441, 961.37445, 726.3003, , 
133180.225139333, 000084, 0.4021197, 0.25157663, 0.21361949, 0.5799599, -0.053472325, 0.8112322, 0.051859118, 1437.1523, 1437.1523, 961.36115, 726.2326, , 
133180.241811458, 000085, 0.41462913, 0.24931125, 0.21403643, 0.58034515, -0.0548953, 0.81078845, 0.05299152, 1437.202, 1437.202, 961.3485, 726.2279, , 
133180.258483666, 000086, 0.4273794, 0.24709994, 0.21452896, 0.58054906, -0.05627008, 0.8104839, 0.05396564, 1437.29, 1437.29, 961.34564, 726.2229, , 
133180.275155708, 000087, 0.44019726, 0.24508995, 0.21518342, 0.58068246, -0.057737295, 0.8102344, 0.054720774, 1437.2404, 1437.2404, 961.3661, 726.2368, , 
133180.291827916, 000088, 0.45323232, 0.24303524, 0.21589592, 0.5806757, -0.059395526, 0.81007683, 0.05534555, 1437.2327, 1437.2327, 961.3567, 726.24725, , 
133180.308500041, 000089, 0.4665279, 0.24083555, 0.21661618, 0.5803236, -0.06115685, 0.8101553, 0.05597109, 1437.3091, 1437.3091, 961.35376, 726.2482, , 
133180.341844291, 000090, 0.4932553, 0.23581888, 0.2179235, 0.57802516, -0.06233136, 0.8117159, 0.055848558, 1437.2861, 1437.2861, 961.3448, 726.2033, , 
133180.358516458, 000091, 0.5066264, 0.23320802, 0.21853359, 0.57601804, -0.061474558, 0.81327134, 0.054898363, 1437.29, 1437.29, 961.34143, 726.1753, , 
133180.375188416, 000092, 0.5201465, 0.23076956, 0.21918319, 0.57350206, -0.060230263, 0.81521595, 0.053762566, 1437.42, 1437.42, 961.3278, 726.16394, , 
133180.391860666, 000093, 0.53355914, 0.22849703, 0.21984403, 0.57066244, -0.05902218, 0.81735617, 0.052816186, 1437.8483, 1437.8483, 961.3609, 726.18353, , 
133180.408532708, 000094, 0.54667836, 0.226461, 0.22047949, 0.5677384, -0.05799928, 0.8195077, 0.052117363, 1437.8138, 1437.8138, 961.3419, 726.181, , 
133180.425204958, 000095, 0.55933416, 0.22474833, 0.22109728, 0.56477004, -0.05693967, 0.82167965, 0.051332768, 1437.726, 1437.726, 961.3554, 726.1869, , 
133180.441876958, 000096, 0.5709994, 0.22353856, 0.22178324, 0.56198543, -0.055855833, 0.8237289, 0.050230976, 1437.6075, 1437.6075, 961.3661, 726.19257, , 
133180.45854925, 000097, 0.58242196, 0.22282837, 0.22238554, 0.5595762, -0.054697093, 0.8255151, 0.049066294, 1437.6953, 1437.6953, 961.3451, 726.16547, , 
133180.475221208, 000098, 0.5936686, 0.22264609, 0.22287151, 0.5578595, -0.054120746, 0.8267378, 0.04866319, 1437.8636, 1437.8636, 961.33813, 726.17017, , 
133180.491893333, 000099, 0.60437924, 0.22310054, 0.22327372, 0.5572393, -0.05482811, 0.8270802, 0.049160086, 1437.8102, 1437.8102, 961.33777, 726.1801, , 
133180.5085655, 000100, 0.6144049, 0.22427805, 0.22362942, 0.5577101, -0.056676053, 0.8265833, 0.05007132, 1437.6838, 1437.6838, 961.3626, 726.1579, , 
133180.525237625, 000101, 0.6237182, 0.2261923, 0.2239864, 0.55867535, -0.05900582, 0.82570934, 0.051030874, 1437.5807, 1437.5807, 961.3485, 726.1735, , 
133180.54190975, 000102, 0.63180476, 0.22843774, 0.22417626, 0.559777, -0.0613411, 0.8247215, 0.052167192, 1437.6381, 1437.6381, 961.3566, 726.2193, , 
133180.558581875, 000103, 0.6395201, 0.23146933, 0.22446579, 0.56057996, -0.06356788, 0.82392377, 0.053467944, 1438.2308, 1438.2308, 961.2905, 726.24207, , 
133180.575254, 000104, 0.6469859, 0.23541583, 0.22492032, 0.5608916, -0.06535145, 0.82349604, 0.05462445, 1438.2345, 1438.2345, 961.2796, 726.28827, , 
133180.591926125, 000105, 0.6539658, 0.2402024, 0.2254946, 0.5607799, -0.06698432, 0.82335997, 0.05583158, 1438.2308, 1438.2308, 961.28876, 726.3017, , 
133180.608598291, 000106, 0.66038966, 0.2458671, 0.22619538, 0.56064254, -0.06865779, 0.82323974, 0.056941908, 1438.1313, 1438.1313, 961.2782, 726.3687, , 
133180.625270375, 000107, 0.6662767, 0.2523659, 0.22707476, 0.56037855, -0.07027125, 0.8232193, 0.057858963, 1438.0243, 1438.0243, 961.23346, 726.3994, , 
133180.641942583, 000108, 0.66997004, 0.2595919, 0.2283936, 0.5598267, -0.07182039, 0.823384, 0.058945227, 1438.1122, 1438.1122, 961.22473, 726.42535, , 
133180.658614666, 000109, 0.6737356, 0.2675338, 0.22987998, 0.5588163, -0.07299016, 0.8238736, 0.060240272, 1438.1925, 1438.1925, 961.2174, 726.49023, , 
133180.675286833, 000110, 0.6780027, 0.27618408, 0.23151042, 0.5571231, -0.07351914, 0.82488483, 0.06143037, 1438.3684, 1438.3684, 961.14386, 726.5576, , 
133180.691958875, 000111, 0.68217784, 0.28555658, 0.23334676, 0.5550658, -0.07359836, 0.8261959, 0.062333655, 1438.7587, 1438.7587, 961.16797, 726.6113, , 
133180.708631041, 000112, 0.6860989, 0.29564974, 0.23541306, 0.5529298, -0.07382041, 0.8275556, 0.06301429, 1438.7546, 1438.7546, 961.11237, 726.67413, , 
133180.725303166, 000113, 0.68973494, 0.3064476, 0.23771186, 0.55084735, -0.074258074, 0.8288712, 0.063444965, 1438.7433, 1438.7433, 961.1026, 726.73975, , 
133180.741975125, 000114, 0.69113153, 0.31778502, 0.24044465, 0.54901785, -0.07495089, 0.82999635, 0.06377804, 1438.7587, 1438.7587, 961.0407, 726.80347, , 
